Date,Price,Open,High,Low,Change %
1995-10-01,83.66,84.31,84.9,82.99,-0.75
1995-11-01,85.26,83.67,85.38,83.34,1.91
1995-12-01,84.76,85.17,85.63,84.34,-0.59
1996-01-01,87.38,84.82,87.72,84.48,3.09
1996-02-01,86.29,87.25,87.56,85.24,-1.25
1996-03-01,86.52,86.25,87.12,86.08,0.27
1996-04-01,88.02,86.58,88.29,86.27,1.73
1996-05-01,87.78,88.05,89.04,87.37,-0.27
1996-06-01,87.82,87.78,88.56,87.35,0.05
1996-07-01,85.9,87.94,88.32,85.63,-2.19
1996-08-01,86.36,85.91,86.96,85.81,0.54
1996-09-01,87.94,86.49,88.12,86.32,1.83
1996-10-01,87.43,87.88,88.53,86.93,-0.58
1996-11-01,87.92,87.41,87.96,86.04,0.56
1996-12-01,88.18,87.95,89.14,87.69,0.3
1997-01-01,93.04,88.85,93.59,88.03,5.51
1997-02-01,94.89,93.04,95.8,92.87,1.99
1997-03-01,94.72,94.98,96.32,94.18,-0.18
1997-04-01,97.18,94.73,97.47,94.02,2.6
1997-05-01,94.85,97.23,97.35,93.07,-2.4
1997-06-01,95.67,95.06,96.22,94.42,0.86
1997-07-01,99.64,95.66,100.0,95.14,4.15
1997-08-01,99.0,99.59,101.79,97.96,-0.64
1997-09-01,97.11,98.22,100.23,96.69,-1.91
1997-10-01,95.64,97.19,98.22,94.83,-1.51
1997-11-01,97.79,95.57,97.99,94.73,2.25
1997-12-01,99.65,97.69,99.73,97.66,1.9
1998-01-01,100.79,99.24,101.68,97.67,1.14
1998-02-01,99.82,100.78,101.04,98.51,-0.96
1998-03-01,101.5,99.72,101.69,99.09,1.68
1998-04-01,99.71,101.53,102.11,98.96,-1.76
1998-05-01,100.45,99.74,100.66,98.57,0.74
1998-06-01,101.17,100.34,102.45,99.43,0.72
1998-07-01,101.2,101.02,102.67,100.19,0.03
1998-08-01,100.2,101.12,102.88,99.7,-0.99
1998-09-01,96.17,99.72,100.13,95.41,-4.02
1998-10-01,93.73,96.12,96.31,90.57,-2.54
1998-11-01,96.2,93.53,96.94,93.29,2.64
1998-12-01,94.17,96.12,96.14,93.19,-2.11
1999-01-01,96.08,94.75,96.24,93.05,2.03
1999-02-01,98.68,95.9,99.48,95.38,2.71
1999-03-01,100.1,98.89,100.79,98.16,1.44
1999-04-01,101.0,100.02,101.36,99.43,0.9
1999-05-01,102.51,100.96,102.64,99.35,1.5
1999-06-01,102.85,102.34,103.48,100.87,0.33
1999-07-01,99.75,102.71,104.88,99.62,-3.01
1999-08-01,99.95,99.97,101.46,98.88,0.2
1999-09-01,98.54,100.04,101.27,98.26,-1.41
1999-10-01,99.06,98.52,99.92,96.94,0.53
1999-11-01,101.99,98.98,102.34,98.72,2.96
1999-12-01,101.87,101.98,102.76,100.49,-0.12
2000-01-01,105.13,101.67,105.28,99.71,3.2
2000-02-01,105.92,104.98,106.86,102.92,0.75
2000-03-01,105.44,106.22,106.61,104.48,-0.45
2000-04-01,110.14,105.61,110.32,104.23,4.46
2000-05-01,108.74,109.9,112.86,108.18,-1.27
2000-06-01,106.84,108.65,109.42,105.56,-1.75
2000-07-01,109.57,106.82,109.92,106.7,2.56
2000-08-01,112.6,109.5,112.93,109.35,2.77
2000-09-01,113.25,112.36,116.75,111.25,0.58
2000-10-01,116.65,113.14,119.07,112.95,3.0
2000-11-01,115.24,116.6,118.69,112.75,-1.21
2000-12-01,109.56,115.21,115.44,109.46,-4.93
2001-01-01,110.52,109.33,112.65,108.09,0.88
2001-02-01,112.01,110.3,113.62,109.4,1.35
2001-03-01,117.37,112.04,117.63,110.82,4.79
2001-04-01,115.85,117.7,117.82,113.86,-1.3
2001-05-01,119.07,115.71,119.29,114.27,2.78
2001-06-01,119.43,119.11,120.33,117.43,0.3
2001-07-01,117.18,119.39,121.02,116.34,-1.88
2001-08-01,113.42,117.07,117.16,112.32,-3.21
2001-09-01,113.48,113.48,116.08,111.31,0.05
2001-10-01,114.86,113.69,116.27,112.27,1.22
2001-11-01,116.13,114.71,117.43,113.66,1.11
2001-12-01,116.75,115.61,118.26,114.43,0.53
2002-01-01,120.24,116.4,120.51,115.54,2.99
2002-02-01,119.16,120.21,120.4,118.09,-0.9
2002-03-01,118.62,119.29,119.61,116.76,-0.45
2002-04-01,115.19,118.56,118.7,114.72,-2.89
2002-05-01,111.81,115.18,115.34,110.88,-2.93
2002-06-01,106.11,111.93,112.04,105.37,-5.1
2002-07-01,107.41,105.76,107.88,103.54,1.23
2002-08-01,106.98,107.61,109.0,106.18,-0.4
2002-09-01,106.87,106.43,109.67,105.41,-0.1
2002-10-01,106.64,106.74,108.74,106.54,-0.22
2002-11-01,106.41,106.55,106.97,104.12,-0.22
2002-12-01,101.85,106.57,107.31,101.82,-4.29
2003-01-01,99.91,102.36,103.2,98.76,-1.9
2003-02-01,99.71,100.26,100.89,98.65,-0.2
2003-03-01,99.06,99.74,102.15,97.57,-0.65
2003-04-01,97.19,98.86,101.81,97.1,-1.89
2003-05-01,93.27,97.18,97.25,92.21,-4.03
2003-06-01,94.73,93.73,95.34,91.88,1.57
2003-07-01,96.89,94.54,97.45,93.96,2.28
2003-08-01,98.1,96.87,99.49,95.56,1.25
2003-09-01,92.85,97.88,99.37,92.1,-5.35
2003-10-01,92.73,92.73,93.42,91.01,-0.13
2003-11-01,90.21,92.64,94.13,90.04,-2.72
2003-12-01,86.92,90.16,90.54,86.36,-3.65
2004-01-01,87.2,86.79,88.07,84.8,0.32
2004-02-01,87.31,87.14,88.02,84.56,0.13
2004-03-01,87.61,87.1,89.84,87.03,0.34
2004-04-01,90.48,87.57,91.56,87.02,3.28
2004-05-01,88.95,90.63,92.29,88.47,-1.69
2004-06-01,88.8,88.64,90.42,88.04,-0.17
2004-07-01,89.96,88.84,90.29,87.0,1.31
2004-08-01,88.94,89.71,90.19,87.66,-1.13
2004-09-01,87.36,88.91,89.75,87.35,-1.78
2004-10-01,84.91,87.41,88.64,84.73,-2.8
2004-11-01,81.82,84.7,85.66,81.53,-3.64
2004-12-01,80.85,81.81,83.18,80.39,-1.19
2005-01-01,83.6,81.05,84.08,80.77,3.4
2005-02-01,82.51,83.49,85.44,82.3,-1.3
2005-03-01,84.06,82.65,84.74,81.28,1.88
2005-04-01,84.43,84.07,85.32,83.36,0.44
2005-05-01,87.76,84.46,87.8,83.75,3.94
2005-06-01,89.11,87.74,89.48,87.15,1.54
2005-07-01,89.35,89.17,90.77,88.28,0.27
2005-08-01,87.58,89.41,89.44,86.76,-1.98
2005-09-01,89.52,87.59,89.82,86.02,2.22
2005-10-01,90.07,89.51,90.74,88.53,0.61
2005-11-01,91.57,90.12,92.63,89.62,1.67
2005-12-01,91.17,91.54,92.32,89.52,-0.44
2006-01-01,88.96,90.75,90.94,87.83,-2.42
2006-02-01,90.11,88.96,91.02,88.84,1.29
2006-03-01,89.73,90.08,91.16,88.85,-0.42
2006-04-01,86.11,89.74,90.4,86.0,-4.03
2006-05-01,84.72,85.93,86.36,83.6,-1.61
2006-06-01,85.22,84.68,87.05,83.72,0.59
2006-07-01,85.3,85.2,87.33,84.77,0.09
2006-08-01,85.05,85.28,85.75,84.39,-0.29
2006-09-01,85.97,85.09,86.22,84.73,1.08
2006-10-01,85.32,86.01,87.3,85.21,-0.76
2006-11-01,82.92,85.29,85.93,82.79,-2.81
2006-12-01,83.72,82.91,84.22,82.24,0.96
2007-01-01,84.61,83.46,85.43,83.15,1.06
2007-02-01,83.57,84.65,85.21,83.4,-1.23
2007-03-01,82.93,83.62,84.38,82.64,-0.77
2007-04-01,81.45,82.91,83.21,81.27,-1.78
2007-05-01,82.3,81.42,82.6,81.25,1.04
2007-06-01,81.92,82.31,83.27,81.7,-0.46
2007-07-01,80.77,81.87,81.95,80.02,-1.4
2007-08-01,80.79,80.9,82.13,79.96,0.02
2007-09-01,77.72,80.81,81.14,77.67,-3.8
2007-10-01,76.48,77.79,78.89,76.47,-1.6
2007-11-01,76.15,76.61,76.87,74.48,-0.43
2007-12-01,76.69,75.93,77.85,75.59,0.71
2008-01-01,75.18,76.35,77.35,74.97,-1.97
2008-02-01,73.71,75.23,77.04,73.56,-1.96
2008-03-01,71.8,73.75,73.95,70.7,-2.59
2008-04-01,72.51,71.87,73.11,71.19,0.99
2008-05-01,72.88,72.57,73.89,71.82,0.51
2008-06-01,72.46,72.87,74.31,72.04,-0.58
2008-07-01,73.23,72.46,73.54,71.31,1.06
2008-08-01,77.38,73.22,77.62,73.2,5.67
2008-09-01,79.45,77.75,80.38,75.89,2.68
2008-10-01,85.63,79.2,87.88,78.95,7.78
2008-11-01,86.52,85.81,88.46,83.9,1.04
2008-12-01,81.15,86.42,87.7,77.69,-6.21
2009-01-01,85.83,81.18,86.81,80.85,5.77
2009-02-01,88.17,86.08,88.49,84.47,2.73
2009-03-01,85.51,88.58,89.62,82.63,-3.02
2009-04-01,84.82,85.53,86.87,83.73,-0.81
2009-05-01,79.23,84.72,84.87,79.18,-6.59
2009-06-01,80.16,79.35,81.47,78.33,1.17
2009-07-01,78.35,80.12,80.89,78.22,-2.26
2009-08-01,78.17,78.25,79.51,77.43,-0.23
2009-09-01,76.65,78.11,78.94,75.83,-1.94
2009-10-01,76.3,76.65,77.47,74.94,-0.46
2009-11-01,74.78,76.37,76.82,74.17,-1.99
2009-12-01,77.86,74.71,78.45,74.27,4.12
2010-01-01,79.46,77.92,79.5,76.6,2.05
2010-02-01,80.36,79.46,81.34,78.68,1.13
2010-03-01,81.07,80.42,82.24,79.51,0.88
2010-04-01,81.87,81.04,82.71,80.03,0.99
